Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
6RI7;ELECTRON MICROSCOPY;;3,9;
6RI9;ELECTRON MICROSCOPY;;3,7;
6RID;ELECTRON MICROSCOPY;;2,9;
6RIE;ELECTRON MICROSCOPY;;3,1;
6RIN;ELECTRON MICROSCOPY;;3,7;
6RIP;ELECTRON MICROSCOPY;;3,4;
6RJ9;ELECTRON MICROSCOPY;;3.2, 3.2;
6RJA;ELECTRON MICROSCOPY;;3, 3;
6RJD;ELECTRON MICROSCOPY;;3,3;
6RJG;ELECTRON MICROSCOPY;;3,2;
6RKS;ELECTRON MICROSCOPY;;4;
6RKU;ELECTRON MICROSCOPY;;4;
6RKV;ELECTRON MICROSCOPY;;4,6;
6RKW;ELECTRON MICROSCOPY;;6,6;
6RNM;X-RAY DIFFRACTION;449;1,76;
6RNO;X-RAY DIFFRACTION;75;2,25;
6RNR;X-RAY DIFFRACTION;112;2,003;
6RNY;ELECTRON MICROSCOPY;;3,9;
6RO2;X-RAY DIFFRACTION;281;1,821;
6RO4;ELECTRON MICROSCOPY;;3,5;
6ROK;X-RAY DIFFRACTION;312;1,95;
6RP0;X-RAY DIFFRACTION;126;2,25;
6RP7;X-RAY DIFFRACTION;177;2;
6RQC;ELECTRON MICROSCOPY;;4,4;
6RQH;ELECTRON MICROSCOPY;;3,7;
6RQL;ELECTRON MICROSCOPY;;2,9;
6RQT;ELECTRON MICROSCOPY;;4;
6RRD;ELECTRON MICROSCOPY;;3,1;
6RUI;ELECTRON MICROSCOPY;;2,7;
6RUO;ELECTRON MICROSCOPY;;3,5;
6RWE;ELECTRON MICROSCOPY;;3;
6RWL;ELECTRON MICROSCOPY;;3,36;
6RWM;ELECTRON MICROSCOPY;108;2,81;
6RWN;ELECTRON MICROSCOPY;8;3,1;
6RWO;ELECTRON MICROSCOPY;6;3,05;
6RYD;X-RAY DIFFRACTION;308;1,575;
6RYI;X-RAY DIFFRACTION;;2,691;
6RYL;X-RAY DIFFRACTION;;2,63;
6RYR;ELECTRON MICROSCOPY;;3,1;
6RYU;ELECTRON MICROSCOPY;;4;
6S01;ELECTRON MICROSCOPY;;3,2;
6S16;X-RAY DIFFRACTION;3;3,409;
6S1M;ELECTRON MICROSCOPY;;4,27;
6S1N;ELECTRON MICROSCOPY;;4,86;
6S1O;ELECTRON MICROSCOPY;;8,1;
6S3H;X-RAY DIFFRACTION;496;2,06;
6S3I;X-RAY DIFFRACTION;15;2,455;
6S3M;X-RAY DIFFRACTION;245;2,113;
6S3N;X-RAY DIFFRACTION;35;2,533;
6S3O;X-RAY DIFFRACTION;414;1,974;
6S3P;X-RAY DIFFRACTION;413;1,926;
6S48;X-RAY DIFFRACTION;487;1,9;
6S6H;X-RAY DIFFRACTION;82;2,4;
6S85;ELECTRON MICROSCOPY;;4,2;
6SA0;X-RAY DIFFRACTION;458;2,209;
6SA1;X-RAY DIFFRACTION;362;2,01;
6SDG;X-RAY DIFFRACTION;;2,96;
6SE0;ELECTRON MICROSCOPY;;3,8;
6SE6;ELECTRON MICROSCOPY;;3,5;
6SEE;ELECTRON MICROSCOPY;;4,2;
6SEF;ELECTRON MICROSCOPY;;3,7;
6SEG;ELECTRON MICROSCOPY;;3,1;
6SEI;X-RAY DIFFRACTION;276;2,69;
6SJB;ELECTRON MICROSCOPY;;3,7;
6SJE;ELECTRON MICROSCOPY;;4,1;
6SJF;ELECTRON MICROSCOPY;;3,9;
6SJG;ELECTRON MICROSCOPY;;3,8;
6SKL;ELECTRON MICROSCOPY;;3,7;
6SKO;ELECTRON MICROSCOPY;;3,4;
6SXB;ELECTRON MICROSCOPY;;7,9;
6SY0;X-RAY DIFFRACTION;;3,102;
6T1F;X-RAY DIFFRACTION;;2,9;
6T21;X-RAY DIFFRACTION;431;2,07;
6T22;X-RAY DIFFRACTION;405;2,21;
6T2U;ELECTRON MICROSCOPY;;3,6;
6T2V;ELECTRON MICROSCOPY;;3,8;
6T5T;X-RAY DIFFRACTION;318;1,7003;
6T78;X-RAY DIFFRACTION;6;2,504;
6T79;ELECTRON MICROSCOPY;;3,2;
6T7A;ELECTRON MICROSCOPY;;3,7;
6T7B;ELECTRON MICROSCOPY;;5,1;
6T7C;ELECTRON MICROSCOPY;;4;
6T7D;ELECTRON MICROSCOPY;;4,4;
6T8B;ELECTRON MICROSCOPY;;3,65;
6T8G;ELECTRON MICROSCOPY;;4,34;
6T8H;ELECTRON MICROSCOPY;;3,77;
6T8O;ELECTRON MICROSCOPY;;3,99;
6T90;ELECTRON MICROSCOPY;;3,05;
6T93;ELECTRON MICROSCOPY;;3,49;
6T9L;ELECTRON MICROSCOPY;;3,6;
6TBZ;X-RAY DIFFRACTION;57;1,782;
6TC9;X-RAY DIFFRACTION;59;2,175;
6TCE;X-RAY DIFFRACTION;;2,92;
6TDA;ELECTRON MICROSCOPY;;15;
6TED;ELECTRON MICROSCOPY;;3,1;
6TEM;ELECTRON MICROSCOPY;;3,9;
6TNF;ELECTRON MICROSCOPY;;3,8;
6TNY;ELECTRON MICROSCOPY;;3,08;
6TNZ;ELECTRON MICROSCOPY;;4,05;
6TPS;ELECTRON MICROSCOPY;;3,54;
6TQN;ELECTRON MICROSCOPY;;3,8;
6TQO;ELECTRON MICROSCOPY;;3,8;
6TUO;X-RAY DIFFRACTION;350;1,8;
6TUP;ELECTRON MICROSCOPY;;3,2;
6TUW;X-RAY DIFFRACTION;;3,5;
6TUX;X-RAY DIFFRACTION;;3,1;
6TYE;X-RAY DIFFRACTION;;3,79;
6TYF;X-RAY DIFFRACTION;;3,8;
6TYG;X-RAY DIFFRACTION;;3,5;
6U0M;ELECTRON MICROSCOPY;;3,9;
6U15;X-RAY DIFFRACTION;92;2,4;
6U16;X-RAY DIFFRACTION;308;1,6;
6U17;X-RAY DIFFRACTION;309;1,55;
6U2O;X-RAY DIFFRACTION;69;2,3;
6U6B;X-RAY DIFFRACTION;17;3,108;
6U6X;X-RAY DIFFRACTION;12;2,58;
6U6Z;X-RAY DIFFRACTION;294;2,1;
6U7T;X-RAY DIFFRACTION;75;2;
6U81;X-RAY DIFFRACTION;65;2,34;
6U82;X-RAY DIFFRACTION;;3,21;
6U8P;X-RAY DIFFRACTION;38;3,05;
6U8Q;ELECTRON MICROSCOPY;;4,67;
6U8V;X-RAY DIFFRACTION;22;3;
6U8W;X-RAY DIFFRACTION;11;2,94891558608;
6U8X;X-RAY DIFFRACTION;19;2,95063876297;
6U90;X-RAY DIFFRACTION;21;3,00081756367;
6U91;X-RAY DIFFRACTION;32;2,99998872297;
6U9Q;X-RAY DIFFRACTION;109;1,83;
6UBF;X-RAY DIFFRACTION;;4,597;
6UEO;X-RAY DIFFRACTION;485;2;
6UEP;X-RAY DIFFRACTION;283;2,05;
6UEQ;X-RAY DIFFRACTION;75;2,4;
6UER;X-RAY DIFFRACTION;9;2,5;
6UEU;X-RAY DIFFRACTION;865;1,8;
6UG1;X-RAY DIFFRACTION;;2,833;
6UGM;ELECTRON MICROSCOPY;;3,7;
6UH5;ELECTRON MICROSCOPY;;3,5;
6UI2;X-RAY DIFFRACTION;93;2,35;
6UIN;X-RAY DIFFRACTION;;3,348;
6UIR;X-RAY DIFFRACTION;209;2,63900110091;
6UIS;X-RAY DIFFRACTION;145;2,74833813248;
6UIT;X-RAY DIFFRACTION;34;2,80607409399;
6UJX;X-RAY DIFFRACTION;112;2,70451211695;
6UJY;X-RAY DIFFRACTION;189;2,59456090099;
6UJZ;X-RAY DIFFRACTION;47;2,5564255195;
6UK0;X-RAY DIFFRACTION;21;2,75695227845;
6UKE;X-RAY DIFFRACTION;203;1,62;
6UKF;X-RAY DIFFRACTION;258;1;
6UKG;X-RAY DIFFRACTION;270;1,16;
6UKH;X-RAY DIFFRACTION;11;2,82;
6UKI;X-RAY DIFFRACTION;23;2,7;
6UOK;X-RAY DIFFRACTION;47;2,55;
6UOL;X-RAY DIFFRACTION;203;1,936;
6UOM;X-RAY DIFFRACTION;223;2,05;
6UPH;ELECTRON MICROSCOPY;;2,7;
6UPK;ELECTRON MICROSCOPY;;4,9;
6UPL;ELECTRON MICROSCOPY;;7,4;
6UPX;X-RAY DIFFRACTION;;3,4;
6UPY;X-RAY DIFFRACTION;;3,4;
6UPZ;X-RAY DIFFRACTION;;3,1;
6UQ0;X-RAY DIFFRACTION;;3,56;
6UQ1;X-RAY DIFFRACTION;;3,6;
6UQ2;X-RAY DIFFRACTION;;3,2;
6UQ3;X-RAY DIFFRACTION;;3,47;
6UQI;X-RAY DIFFRACTION;42;2,5;
6UR2;X-RAY DIFFRACTION;100;2,27;
6UR4;X-RAY DIFFRACTION;164;2,25;
6UR9;X-RAY DIFFRACTION;347;2,1;
6US5;X-RAY DIFFRACTION;410;2,25;
6USJ;ELECTRON MICROSCOPY;;10,5;
6USO;X-RAY DIFFRACTION;47;2,54;
6USP;X-RAY DIFFRACTION;;3,56;
6USQ;X-RAY DIFFRACTION;1;3,62;
6USR;X-RAY DIFFRACTION;44;2,93;
6UTV;X-RAY DIFFRACTION;;3,45;
6UTW;X-RAY DIFFRACTION;;3,854;
6UTX;X-RAY DIFFRACTION;;4,05;
6UTY;X-RAY DIFFRACTION;;4,15;
6UTZ;X-RAY DIFFRACTION;;3,803;
6UU0;X-RAY DIFFRACTION;;3,9;
6UU1;X-RAY DIFFRACTION;;4,097;
6UU2;X-RAY DIFFRACTION;;4,404;
6UU3;X-RAY DIFFRACTION;;4,002;
6UU4;X-RAY DIFFRACTION;;4,305;
6UU5;X-RAY DIFFRACTION;;5,403;
6UU6;X-RAY DIFFRACTION;;4,201;
6UU7;X-RAY DIFFRACTION;;4,4;
6UU8;X-RAY DIFFRACTION;;4,4;
6UU9;X-RAY DIFFRACTION;;5,4;
6UUA;X-RAY DIFFRACTION;;4,002;
6UUB;X-RAY DIFFRACTION;;3,955;
6UUC;X-RAY DIFFRACTION;;4,096;
6UVW;X-RAY DIFFRACTION;23;2,551;
6UW0;X-RAY DIFFRACTION;10;2,72;
6UWG;X-RAY DIFFRACTION;88;2,22;
6UWH;X-RAY DIFFRACTION;36;2,299;
6UWJ;X-RAY DIFFRACTION;139;1,852;
6UWK;X-RAY DIFFRACTION;31;2,533;
6UXW;ELECTRON MICROSCOPY;86;8,96;
6V0V;ELECTRON MICROSCOPY;;3,61;
6V2K;X-RAY DIFFRACTION;;2,6;
6V3K;ELECTRON MICROSCOPY;;3.4, 3.4;
6V5K;X-RAY DIFFRACTION;23;2,69;
6V7B;ELECTRON MICROSCOPY;;3,4;
6V8U;X-RAY DIFFRACTION;107;2,103;
6V92;ELECTRON MICROSCOPY;;20;
6V93;ELECTRON MICROSCOPY;220;3,1;
6VAA;ELECTRON MICROSCOPY;;3.35, 3.4;
6VAE;ELECTRON MICROSCOPY;;3.5, 3.6;
6VAF;ELECTRON MICROSCOPY;;3.9, 3.9;
6VBW;ELECTRON MICROSCOPY;;3,2;
6VCS;X-RAY DIFFRACTION;185;1,7;
6VDD;X-RAY DIFFRACTION;812;1,9;
6VDK;ELECTRON MICROSCOPY;;4,5;
6VEN;ELECTRON MICROSCOPY;;3,37;
6VEZ;X-RAY DIFFRACTION;341;1,875;
6VF0;X-RAY DIFFRACTION;388;1,58;
6VF1;X-RAY DIFFRACTION;370;1,68;
6VF2;X-RAY DIFFRACTION;316;1,6;
6VF3;X-RAY DIFFRACTION;334;1,521;
6VF4;X-RAY DIFFRACTION;287;1,75;
6VF5;X-RAY DIFFRACTION;352;1,6;
6VF6;X-RAY DIFFRACTION;307;1,69;
6VF7;X-RAY DIFFRACTION;322;1,871;
6VF8;X-RAY DIFFRACTION;312;1,7;
6VF9;X-RAY DIFFRACTION;356;1,56;
6VFA;X-RAY DIFFRACTION;304;1,76;
6VFB;X-RAY DIFFRACTION;302;1,55;
6VFC;X-RAY DIFFRACTION;322;1,59;
6VG2;X-RAY DIFFRACTION;;3,9;
6VG6;X-RAY DIFFRACTION;22;3,08;
6VG8;X-RAY DIFFRACTION;;4,31;
6VGD;X-RAY DIFFRACTION;;4,2;
6VGE;X-RAY DIFFRACTION;;4,25;
6VGG;X-RAY DIFFRACTION;2;4,31;
6VGM;X-RAY DIFFRACTION;10;2,84;
6VJW;X-RAY DIFFRACTION;46;2,02;
6VKP;X-RAY DIFFRACTION;65;2,54;
6VLZ;ELECTRON MICROSCOPY;;2,97;
6VMI;ELECTRON MICROSCOPY;;2,96;
6VNP;X-RAY DIFFRACTION;363;2,42;
6VOY;ELECTRON MICROSCOPY;;3,7;
6VPC;ELECTRON MICROSCOPY;;3,2;
6VTX;X-RAY DIFFRACTION;81;2,14;
6VU3;ELECTRON MICROSCOPY;;3,7;
6VUG;X-RAY DIFFRACTION;;3;
6VVS;X-RAY DIFFRACTION;43;3,112;
6VVT;X-RAY DIFFRACTION;15;2,901;
6VVV;X-RAY DIFFRACTION;8;3,2;
6VVX;ELECTRON MICROSCOPY;;3,39;
6VVY;ELECTRON MICROSCOPY;;3,42;
6VVZ;ELECTRON MICROSCOPY;;3,72;
6VW0;ELECTRON MICROSCOPY;;3,59;
6VYP;X-RAY DIFFRACTION;;4,99;
6VYQ;ELECTRON MICROSCOPY;;3,7;
6VYR;ELECTRON MICROSCOPY;;3,8;
6VYS;ELECTRON MICROSCOPY;;3,7;
6VYT;ELECTRON MICROSCOPY;;14;
6VYU;ELECTRON MICROSCOPY;;7;
6VYW;ELECTRON MICROSCOPY;;7;
6VYX;ELECTRON MICROSCOPY;;9,9;
6VYY;ELECTRON MICROSCOPY;;9,9;
6VYZ;ELECTRON MICROSCOPY;;9,9;
6VZ2;ELECTRON MICROSCOPY;;10;
6VZ3;ELECTRON MICROSCOPY;;8,9;
6VZ4;ELECTRON MICROSCOPY;;3,9;
6VZ5;ELECTRON MICROSCOPY;;8,9;
6VZ7;ELECTRON MICROSCOPY;;7;
6VZJ;ELECTRON MICROSCOPY;;4,1;
6W0M;X-RAY DIFFRACTION;100;2,37;
6W0Q;X-RAY DIFFRACTION;451;1,89;
6W0R;X-RAY DIFFRACTION;115;2,35;
6W13;X-RAY DIFFRACTION;85;2,38;
6W1A;X-RAY DIFFRACTION;19;2,8;
6W1F;X-RAY DIFFRACTION;6;3,2;
6W2M;X-RAY DIFFRACTION;446;1,998;
6W2P;X-RAY DIFFRACTION;400;1,94;
6W3L;X-RAY DIFFRACTION;100;2,59;
6W3N;X-RAY DIFFRACTION;42;2,69;
6W3Q;X-RAY DIFFRACTION;27;2,49;
6W3U;X-RAY DIFFRACTION;154;2,4;
6W43;X-RAY DIFFRACTION;429;1,99;
6W4I;X-RAY DIFFRACTION;363;2,2;
6W4T;X-RAY DIFFRACTION;39;2,77;
6W5C;ELECTRON MICROSCOPY;;2,9;
6W5I;ELECTRON MICROSCOPY;;6,9;
6W5M;ELECTRON MICROSCOPY;;4,6;
6W5N;ELECTRON MICROSCOPY;;6;
6W5X;X-RAY DIFFRACTION;23;2,59;
6W64;ELECTRON MICROSCOPY;;3,9;
6W6W;ELECTRON MICROSCOPY;;3;
6W7A;X-RAY DIFFRACTION;111;2,09;
6W89;X-RAY DIFFRACTION;259;2,499;
6W8B;X-RAY DIFFRACTION;288;2,4;
6W8D;X-RAY DIFFRACTION;96;2,598;
6W8J;X-RAY DIFFRACTION;151;2,445;
6W8V;X-RAY DIFFRACTION;;3,12;
6W8W;X-RAY DIFFRACTION;62;3;
6WAA;X-RAY DIFFRACTION;10;3,2;
6WBR;X-RAY DIFFRACTION;;2,91;
6WC0;X-RAY DIFFRACTION;;3,61;
6WC2;X-RAY DIFFRACTION;445;2,1;
6WC5;X-RAY DIFFRACTION;3;2,9;
6WDZ;X-RAY DIFFRACTION;194;2,03;
6WE0;X-RAY DIFFRACTION;45;1,8;
6WE1;X-RAY DIFFRACTION;5;2,612;
6WE9;X-RAY DIFFRACTION;183;1,59;
6WEA;X-RAY DIFFRACTION;497;1,8;
6WFQ;ELECTRON MICROSCOPY;;3,9;
6WG3;ELECTRON MICROSCOPY;;5,3;
6WG6;X-RAY DIFFRACTION;;3,54;
6WG7;ELECTRON MICROSCOPY;;8,3;
6WGC;ELECTRON MICROSCOPY;;4,3;
6WGE;ELECTRON MICROSCOPY;;3,9;
6WGG;ELECTRON MICROSCOPY;;8,1;
6WGI;ELECTRON MICROSCOPY;;10;
6WHI;ELECTRON MICROSCOPY;;4,2;
6WHM;X-RAY DIFFRACTION;136;1,92;
6WIC;X-RAY DIFFRACTION;355;1,55;
6WID;X-RAY DIFFRACTION;354;1,5;
6WIE;X-RAY DIFFRACTION;354;1,5;
6WIG;X-RAY DIFFRACTION;44;2,1;
6WK6;X-RAY DIFFRACTION;60;2,35;
6WKR;ELECTRON MICROSCOPY;;3,5;
6WMA;X-RAY DIFFRACTION;150;2,5;
6WMB;X-RAY DIFFRACTION;46;3,02;
6WMC;X-RAY DIFFRACTION;39;3,49;
6WMI;X-RAY DIFFRACTION;137;2,75;
6WMP;ELECTRON MICROSCOPY;;2,98;
6WMR;ELECTRON MICROSCOPY;;3,46;
6WMT;ELECTRON MICROSCOPY;;4,43;
6WMU;ELECTRON MICROSCOPY;;3,18;
6WOX;X-RAY DIFFRACTION;;3,14;
6WOY;X-RAY DIFFRACTION;;3;
6WPA;X-RAY DIFFRACTION;;3,09;
6WPF;X-RAY DIFFRACTION;139;2,53;
6WPH;X-RAY DIFFRACTION;22;2,72;
6WPJ;X-RAY DIFFRACTION;6;2,73;
6WQ0;ELECTRON MICROSCOPY;;2,8;
6WQ2;ELECTRON MICROSCOPY;;4;
6WQU;X-RAY DIFFRACTION;105;2,41;
6WS3;X-RAY DIFFRACTION;77;2,2;
6WVJ;ELECTRON MICROSCOPY;;3.36, 3.36;
6WYA;X-RAY DIFFRACTION;263;2,41;
6WYB;X-RAY DIFFRACTION;143;2,5;
6WZ5;ELECTRON MICROSCOPY;;2,2;
6WZ9;ELECTRON MICROSCOPY;;2,8;
6X0L;ELECTRON MICROSCOPY;;3,9;
6X0M;ELECTRON MICROSCOPY;;6,3;
6X0N;ELECTRON MICROSCOPY;;10;
6X1J;X-RAY DIFFRACTION;141;1,945;
6X26;ELECTRON MICROSCOPY;;4,1;
6X2F;ELECTRON MICROSCOPY;;4;
6X2N;ELECTRON MICROSCOPY;;3,9;
6X43;ELECTRON MICROSCOPY;;3,6;
6X4W;ELECTRON MICROSCOPY;;3,8;
6X4Y;ELECTRON MICROSCOPY;;3,6;
6X50;ELECTRON MICROSCOPY;;3,3;
6X59;ELECTRON MICROSCOPY;;2,98;
6X5A;ELECTRON MICROSCOPY;;4,36;
6X67;ELECTRON MICROSCOPY;;3,47;
6X68;ELECTRON MICROSCOPY;;3,66;
6X6D;X-RAY DIFFRACTION;13;2,48;
6X6E;X-RAY DIFFRACTION;30;2;
6X6T;ELECTRON MICROSCOPY;;3,2;
6X6Z;X-RAY DIFFRACTION;764;1,4;
6X70;X-RAY DIFFRACTION;463;2,05;
6X71;X-RAY DIFFRACTION;556;1,78;
6X72;X-RAY DIFFRACTION;139;2,19;
6X73;X-RAY DIFFRACTION;218;2,05;
6X74;X-RAY DIFFRACTION;435;1,69;
6X75;X-RAY DIFFRACTION;406;1,95;
6X76;X-RAY DIFFRACTION;75;2,53;
6X77;X-RAY DIFFRACTION;441;1,64;
6X7F;ELECTRON MICROSCOPY;;3,5;
6X7K;ELECTRON MICROSCOPY;;3,1;
6X9I;X-RAY DIFFRACTION;225;2,2;
6X9J;X-RAY DIFFRACTION;390;1,79;
6X9K;X-RAY DIFFRACTION;189;2,65;
6X9Q;ELECTRON MICROSCOPY;;4,8;
6XAS;ELECTRON MICROSCOPY;;3,8;
6XAV;ELECTRON MICROSCOPY;;7,7;
6XB8;X-RAY DIFFRACTION;;3,3;
6XBU;X-RAY DIFFRACTION;;3,29;
6XDQ;ELECTRON MICROSCOPY;;3,7;
6XDR;ELECTRON MICROSCOPY;;4,7;
6XEO;ELECTRON MICROSCOPY;;5,5;
6XG8;X-RAY DIFFRACTION;;3,5;
6XGF;ELECTRON MICROSCOPY;;5;
6XGW;X-RAY DIFFRACTION;;3,5;
6XGX;X-RAY DIFFRACTION;;3,5;
6XH7;ELECTRON MICROSCOPY;;3,9;
6XH8;ELECTRON MICROSCOPY;;4,1;
6XII;ELECTRON MICROSCOPY;;7;
6XIJ;ELECTRON MICROSCOPY;;8;
6XJD;ELECTRON MICROSCOPY;;6,8;
6XL5;ELECTRON MICROSCOPY;42;2,5;
6XL6;ELECTRON MICROSCOPY;;3;
6XL9;ELECTRON MICROSCOPY;21;2,5;
6XLA;ELECTRON MICROSCOPY;;3,1;
6XLJ;ELECTRON MICROSCOPY;;2,7;
6XLK;ELECTRON MICROSCOPY;;3,3;
6XLL;ELECTRON MICROSCOPY;;2,7;
6XLM;ELECTRON MICROSCOPY;;3,2;
6XLN;ELECTRON MICROSCOPY;;2,8;
6XNX;ELECTRON MICROSCOPY;;2,7;
6XNY;ELECTRON MICROSCOPY;;2,9;
6XNZ;ELECTRON MICROSCOPY;;3,8;
6XTX;ELECTRON MICROSCOPY;;3,29;
6XU0;X-RAY DIFFRACTION;448;1,9;
6XUP;X-RAY DIFFRACTION;449;1,9;
6XWG;X-RAY DIFFRACTION;36;2,4;
6XWH;X-RAY DIFFRACTION;45;2,1;
6Y35;X-RAY DIFFRACTION;24;2,6;
6Y36;X-RAY DIFFRACTION;68;2,3;
6Y37;X-RAY DIFFRACTION;123;2,2;
6Y39;X-RAY DIFFRACTION;59;2,3;
6Y42;X-RAY DIFFRACTION;;4,3;
6Y5D;ELECTRON MICROSCOPY;;4,1;
6Y5E;ELECTRON MICROSCOPY;;3,15;
6Y93;X-RAY DIFFRACTION;;2,23;
6YCQ;X-RAY DIFFRACTION;648;1,65;
6YCS;X-RAY DIFFRACTION;12;3,05;
6YJB;X-RAY DIFFRACTION;585;1,55;
6YKF;X-RAY DIFFRACTION;589;1,48;
6YL2;X-RAY DIFFRACTION;;3,15;
6YMG;X-RAY DIFFRACTION;86;3,14;
6YMV;ELECTRON MICROSCOPY;;3,1;
6YMW;ELECTRON MICROSCOPY;;3,71;
6YOV;ELECTRON MICROSCOPY;;3,42;
6YUF;ELECTRON MICROSCOPY;;3,94;
6YWW;X-RAY DIFFRACTION;82;2,102;
6Z1A;X-RAY DIFFRACTION;347;2,3;
6Z6P;ELECTRON MICROSCOPY;;4,43;
6Z8V;X-RAY DIFFRACTION;202;1,58;
6Z8W;X-RAY DIFFRACTION;200;1,73;
6Z8X;X-RAY DIFFRACTION;3;2,53;
6Z9P;ELECTRON MICROSCOPY;15;3,9;
6Z9Q;ELECTRON MICROSCOPY;15;5,7;
6Z9R;ELECTRON MICROSCOPY;15;4,1;
6Z9S;ELECTRON MICROSCOPY;15;4,4;
6Z9T;ELECTRON MICROSCOPY;15;4,1;
6ZA3;X-RAY DIFFRACTION;146;2,05;
6ZAB;X-RAY DIFFRACTION;23;2,8;
6ZH8;ELECTRON MICROSCOPY;;4,14;
6ZHA;ELECTRON MICROSCOPY;;3,91;
6ZHE;ELECTRON MICROSCOPY;;7,24;
6ZHX;ELECTRON MICROSCOPY;146;2,5;
6ZHY;ELECTRON MICROSCOPY;;3;
6ZIX;X-RAY DIFFRACTION;5;3,4;
6ZJ2;X-RAY DIFFRACTION;;3,38;
6ZMN;X-RAY DIFFRACTION;16;2,333;
6ZNC;X-RAY DIFFRACTION;178;1,64;
6ZNP;X-RAY DIFFRACTION;1;3,16;
6ZNQ;X-RAY DIFFRACTION;;3,34;
6ZTJ;ELECTRON MICROSCOPY;;3,4;
6ZTL;ELECTRON MICROSCOPY;;3,5;
6ZTM;ELECTRON MICROSCOPY;;3,3;
6ZTN;ELECTRON MICROSCOPY;;3,9;
6ZTO;ELECTRON MICROSCOPY;;3;
6ZTP;ELECTRON MICROSCOPY;;3;
6ZU1;ELECTRON MICROSCOPY;;3;
6ZY5;ELECTRON MICROSCOPY;;3,6;
6ZY6;ELECTRON MICROSCOPY;;4,1;
6ZY7;ELECTRON MICROSCOPY;;4,64;
6ZY8;ELECTRON MICROSCOPY;;7,4;
6ZZ6;ELECTRON MICROSCOPY;;3,4;
7A08;ELECTRON MICROSCOPY;;3,11;
7ABS;X-RAY DIFFRACTION;105;1,97;
7AD8;ELECTRON MICROSCOPY;;3,5;
7ADB;ELECTRON MICROSCOPY;15;4,4;
7ADC;ELECTRON MICROSCOPY;15;4;
7ADD;ELECTRON MICROSCOPY;15;4,3;
7ADE;ELECTRON MICROSCOPY;15;4,2;
7ADU;X-RAY DIFFRACTION;185;2,62;
7ADV;X-RAY DIFFRACTION;160;2,65;
7AE1;ELECTRON MICROSCOPY;;2,8;
7AE3;ELECTRON MICROSCOPY;;3,1;
7AEA;ELECTRON MICROSCOPY;;3,4;
7AEO;X-RAY DIFFRACTION;;2,8;
7AHX;X-RAY DIFFRACTION;108;2,73;
7AI5;ELECTRON MICROSCOPY;;5, 4.4;
7AI6;ELECTRON MICROSCOPY;;6,9;
7AI7;ELECTRON MICROSCOPY;;3,9;
7AIB;ELECTRON MICROSCOPY;;4,7;
7AIC;ELECTRON MICROSCOPY;;5;
7AID;X-RAY DIFFRACTION;61;3,15;
7AIF;X-RAY DIFFRACTION;226;2,75;
7AIG;X-RAY DIFFRACTION;52;2,95;
7AII;X-RAY DIFFRACTION;115;2,62;
7AIJ;X-RAY DIFFRACTION;65;2,95;
7AMN;X-RAY DIFFRACTION;23;2,3;
7AMT;X-RAY DIFFRACTION;;2,6;
7AMV;ELECTRON MICROSCOPY;;2,8;
7AOE;ELECTRON MICROSCOPY;;3,9;
7AOH;ELECTRON MICROSCOPY;;2,7;
7AOZ;ELECTRON MICROSCOPY;;2,85;
7AP8;ELECTRON MICROSCOPY;;3,15;
7AP9;ELECTRON MICROSCOPY;;3,01;
7APD;ELECTRON MICROSCOPY;;3,9;
7AT8;ELECTRON MICROSCOPY;;4,4;
7AUD;X-RAY DIFFRACTION;66;2,96;
7AW7;X-RAY DIFFRACTION;;3,4;
7AW9;X-RAY DIFFRACTION;;3,5;
7AY1;ELECTRON MICROSCOPY;;3,7;
7B0C;X-RAY DIFFRACTION;4;3;
7B0F;X-RAY DIFFRACTION;80;2,797;
7B0G;X-RAY DIFFRACTION;;3;
7B0H;X-RAY DIFFRACTION;;3,15;
7B0Y;ELECTRON MICROSCOPY;;3,6;
7B1Y;X-RAY DIFFRACTION;136;2,12;
7B20;X-RAY DIFFRACTION;105;2,18;
7B23;X-RAY DIFFRACTION;50;2,15;
7B24;X-RAY DIFFRACTION;192;2,05;
7B25;X-RAY DIFFRACTION;43;2,34;
7B46;X-RAY DIFFRACTION;298;2,02;
7B49;X-RAY DIFFRACTION;513;1,42;
7B4A;X-RAY DIFFRACTION;511;1,9;
7B4D;X-RAY DIFFRACTION;150;1,85;
7B4E;X-RAY DIFFRACTION;288;1,58;
7B4F;X-RAY DIFFRACTION;302;1,78;
7B4G;X-RAY DIFFRACTION;333;1,86;
7B4H;X-RAY DIFFRACTION;299;1,39;
7B4N;X-RAY DIFFRACTION;303;1,32;
7B5Y;ELECTRON MICROSCOPY;;7,1;
7BCA;X-RAY DIFFRACTION;;2,8;
7BCB;X-RAY DIFFRACTION;;2,8;
7BEF;ELECTRON MICROSCOPY;;4,5;
7BEG;ELECTRON MICROSCOPY;;4,2;
7BG9;ELECTRON MICROSCOPY;;3.8, 3.8;
7BHY;X-RAY DIFFRACTION;70;2,3;
7BIL;X-RAY DIFFRACTION;110;2,21;
7BJQ;X-RAY DIFFRACTION;39;2,7;
7BTQ;ELECTRON MICROSCOPY;;4,54;
7BWD;ELECTRON MICROSCOPY;;4,32;
7BXT;ELECTRON MICROSCOPY;;4,2;
7BY0;ELECTRON MICROSCOPY;;4,5;
